system,placement,confidence,rmsd
aa2ar,aa2ar_seed-9_sample-4_model.cif,0.9203400530790031,0.3575774698136986
abl1,abl1_seed-5_sample-0_model.cif,0.9064285580058533,0.09415480861265119
ace,ace_seed-3_sample-2_model.cif,0.9763831757568073,0.2554029390956525
aces,aces_seed-5_sample-2_model.cif,0.9502814175065408,0.12035196942892114
ada,ada_seed-5_sample-3_model.cif,0.9698098685792595,0.31098103925596904
ada17,ada17_seed-1_sample-0_model.cif,0.9160987866830621,1.266752738297231
adrb1,adrb1_seed-3_sample-3_model.cif,0.964152222423462,0.11134932433342896
adrb2,adrb2_seed-4_sample-2_model.cif,0.9439077968041061,0.4605858431888591
akt1,X,X,X
akt2,X,X,X
aldr,aldr_seed-4_sample-3_model.cif,0.9446114540477911,0.10364126884360357
ampc,ampc_seed-4_sample-1_model.cif,0.5885842781713756,0.802607841670057
andr,andr_seed-10_sample-2_model.cif,0.9727626632982014,0.12112451300035343
aofb,aofb_seed-6_sample-2_model.cif,0.9411596066453836,0.7782655483946346
bace1,bace1_seed-1_sample-2_model.cif,0.9047554210592029,2.325000385443083
braf,braf_seed-1_sample-4_model.cif,0.8958356767387233,0.40355185147430095
cah2,cah2_seed-2_sample-0_model.cif,0.9680350168880079,0.06941856445660269
casp3,casp3_seed-6_sample-2_model.cif,0.8147520376248196,0.4190418577715863
cdk2,X,X,X
comt,comt_seed-5_sample-2_model.cif,0.835937245039206,0.06539211969730144
cp2c9,cp2c9_seed-1_sample-1_model.cif,0.600506920068543,0.31017799767756277
cp3a4,X,X,X
csf1r,csf1r_seed-9_sample-3_model.cif,0.9168055384786183,0.3431658565205004
cxcr4,cxcr4_seed-8_sample-0_model.cif,0.7671259516363164,0.9594426743177493
def,def_seed-4_sample-2_model.cif,0.7592019808974804,1.9451961065854835
dhi1,dhi1_seed-3_sample-0_model.cif,0.8540291849829609,2.9728344793770813
dpp4,dpp4_seed-6_sample-0_model.cif,0.8985766688840551,0.27856046520936767
drd3,X,X,X
dyr,dyr_seed-9_sample-0_model.cif,0.8704366884252958,0.5903461615424477
egfr,egfr_seed-2_sample-0_model.cif,0.9532142874871913,0.2241495753421509
esr1,esr1_seed-10_sample-3_model.cif,0.9374659428844563,0.28115862129100355
esr2,esr2_seed-1_sample-2_model.cif,0.9089722282724231,0.3358579488577096
fa10,fa10_seed-4_sample-3_model.cif,0.9427618442785275,0.13762618665243284
fa7,fa7_seed-7_sample-1_model.cif,0.9624935335086662,0.34139155517419334
fabp4,fabp4_seed-3_sample-3_model.cif,0.8112637067466898,0.28868271314680316
fak1,fak1_seed-9_sample-1_model.cif,0.9222629734594974,2.487667735623225
fgfr1,fgfr1_seed-2_sample-4_model.cif,0.9025469359384484,0.12614239081554618
fkb1a,fkb1a_seed-6_sample-1_model.cif,0.9259732732478035,0.3923258231816791
fnta,fnta_seed-5_sample-0_model.cif,0.8515896932205966,1.0775992273515014
fpps,fpps_seed-10_sample-4_model.cif,0.5029601370096651,0.5555831244851179
gcr,gcr_seed-3_sample-0_model.cif,0.985889662803008,0.2358059035352487
glcm,glcm_seed-8_sample-1_model.cif,0.9311724215520131,0.7190254578932413
gria2,gria2_seed-8_sample-3_model.cif,1.0146726262239283,0.12963452901939834
grik1,grik1_seed-9_sample-3_model.cif,0.9163654334880436,0.41358868827963663
hdac2,hdac2_seed-4_sample-4_model.cif,0.8428795289207447,0.15340552239597807
hdac8,hdac8_seed-10_sample-0_model.cif,0.8031735345157341,0.9126333540931006
hivint,hivint_seed-8_sample-4_model.cif,0.6444379699083798,0.25892113703560954
hivpr,X,X,X
hivrt,hivrt_seed-10_sample-4_model.cif,0.3673789297938435,0.3250956099964538
hmdh,hmdh_seed-9_sample-3_model.cif,0.9793605466724298,0.1358612159660489
hs90a,hs90a_seed-5_sample-3_model.cif,0.9768058951133669,0.10336238626290474
hxk4,hxk4_seed-3_sample-4_model.cif,0.9466330311964831,0.10270177236773592
igf1r,igf1r_seed-8_sample-1_model.cif,0.9238373315489226,0.6931045134678719
inha,inha_seed-6_sample-0_model.cif,0.6781492121334366,0.43485288382908505
ital,ital_seed-4_sample-1_model.cif,0.9439773867033037,0.1935939333635266
jak2,jak2_seed-5_sample-1_model.cif,0.9031565002705453,0.1778108638915731
kif11,kif11_seed-2_sample-0_model.cif,0.9376150859433023,0.5172100680881683
kit,X,X,X
kith,kith_seed-2_sample-0_model.cif,0.9385402336934234,0.1423574048340685
kpcb,X,X,X
lck,lck_seed-1_sample-0_model.cif,0.9440085755706425,0.2657233579117683
lkha4,lkha4_seed-7_sample-3_model.cif,0.9212479788899446,0.5363006458038665
