system,placement,confidence,rmsd
aa2ar,aa2ar_seed-4_sample-1_model.cif,0.9334377817481443,1.1126199658155873
abl1,abl1_seed-10_sample-3_model.cif,0.9465899121993653,0.10580749734121016
ace,ace_seed-5_sample-4_model.cif,0.9771599797288861,0.26254195407417624
aces,aces_seed-3_sample-2_model.cif,0.9518651287298433,0.12530282834853992
ada,ada_seed-9_sample-1_model.cif,0.9719010617386669,0.3228958941359672
ada17,ada17_seed-8_sample-3_model.cif,0.9261229436353847,1.4611777548442777
adrb1,adrb1_seed-4_sample-0_model.cif,0.9666875677316511,0.11715766802115135
adrb2,adrb2_seed-2_sample-4_model.cif,0.9472062700179888,0.4917636494883575
akt1,X,X,X
akt2,X,X,X
aldr,aldr_seed-4_sample-3_model.cif,0.9446114540477911,0.10364126884360357
ampc,ampc_seed-2_sample-3_model.cif,0.7807213715467614,0.9496232949794612
andr,andr_seed-10_sample-2_model.cif,0.9727626632982014,0.12112451300035343
aofb,aofb_seed-7_sample-3_model.cif,0.9596872647837296,1.1126817543329595
bace1,bace1_seed-1_sample-3_model.cif,0.9096458519524887,2.402674303120484
braf,braf_seed-1_sample-4_model.cif,0.8958356767387233,0.40355185147430095
cah2,cah2_seed-7_sample-1_model.cif,0.9695522367612426,0.11525609906876018
casp3,casp3_seed-7_sample-4_model.cif,0.8517719805206111,1.2119844532482145
cdk2,X,X,X
comt,comt_seed-10_sample-3_model.cif,0.8592028868379961,0.07129577765009455
cp2c9,cp2c9_seed-10_sample-0_model.cif,0.736633185806268,0.7026079620117547
cp3a4,X,X,X
csf1r,csf1r_seed-3_sample-4_model.cif,0.9460173796517136,0.5814229896387054
cxcr4,cxcr4_seed-8_sample-3_model.cif,0.8156104847401404,1.4189110205877873
def,def_seed-4_sample-2_model.cif,0.7592019808974804,1.9451961065854835
dhi1,dhi1_seed-10_sample-0_model.cif,0.875096252604356,3.0749892863216464
dpp4,dpp4_seed-8_sample-2_model.cif,0.9323891414377575,0.822703267400499
drd3,X,X,X
dyr,dyr_seed-7_sample-3_model.cif,0.9410311825694126,1.6938146795131812
egfr,egfr_seed-4_sample-0_model.cif,0.9570653318873067,0.2280265812571481
esr1,esr1_seed-7_sample-0_model.cif,0.9392382460366981,0.2940608801502999
esr2,esr2_seed-3_sample-4_model.cif,0.9372068900416695,0.3628742189153881
fa10,fa10_seed-3_sample-3_model.cif,1.0037258399218825,0.14120871988692832
fa7,fa7_seed-6_sample-3_model.cif,0.9855990519325937,1.2063359304217711
fabp4,fabp4_seed-3_sample-3_model.cif,0.8112637067466898,0.28868271314680316
fak1,fak1_seed-8_sample-2_model.cif,0.9355343183358609,2.501847946963041
fgfr1,fgfr1_seed-5_sample-4_model.cif,0.9393754157847772,1.553467207351008
fkb1a,fkb1a_seed-6_sample-3_model.cif,0.9330769093669604,0.4330404700016734
fnta,fnta_seed-8_sample-3_model.cif,0.8990402492768481,2.004554416131621
fpps,fpps_seed-4_sample-1_model.cif,0.745377509222117,0.5859800485325347
gcr,gcr_seed-3_sample-3_model.cif,0.9942921545553333,0.23842265428069706
glcm,glcm_seed-3_sample-0_model.cif,0.9767954010751967,0.8084132048126805
gria2,gria2_seed-5_sample-0_model.cif,1.01680377209302,0.1606823929634347
grik1,grik1_seed-2_sample-0_model.cif,0.9525502603399206,0.74149390038939
hdac2,hdac2_seed-1_sample-1_model.cif,0.8652798792013161,0.16629899977733426
hdac8,hdac8_seed-9_sample-3_model.cif,0.8447129609858753,1.084146638418762
hivint,hivint_seed-8_sample-4_model.cif,0.6444379699083798,0.25892113703560954
hivpr,X,X,X
hivrt,hivrt_seed-10_sample-4_model.cif,0.3673789297938435,0.3250956099964538
hmdh,hmdh_seed-9_sample-3_model.cif,0.9793605466724298,0.1358612159660489
hs90a,hs90a_seed-5_sample-3_model.cif,0.9768058951133669,0.10336238626290474
hxk4,hxk4_seed-3_sample-4_model.cif,0.9466330311964831,0.10270177236773592
igf1r,igf1r_seed-9_sample-2_model.cif,0.9591305680598402,0.8828901988766603
inha,inha_seed-7_sample-3_model.cif,0.7567181926719876,0.7577690305228693
ital,ital_seed-10_sample-3_model.cif,0.9467137207638016,0.2606769965016412
jak2,jak2_seed-4_sample-1_model.cif,0.9235464264255018,0.20711502343898253
kif11,kif11_seed-1_sample-4_model.cif,0.9431064316291594,0.518329208803596
kit,X,X,X
kith,kith_seed-2_sample-0_model.cif,0.9385402336934234,0.1423574048340685
kpcb,X,X,X
lck,lck_seed-6_sample-1_model.cif,0.9496314035486078,0.274722162764512
lkha4,lkha4_seed-6_sample-0_model.cif,0.9239753625473939,0.6856525060694175
mapk2,mapk2_seed-1_sample-0_model.cif,0.948495162496945,0.18911598981186248
mcr,mcr_seed-7_sample-3_model.cif,0.9645243499597869,0.3260608057241416
met,met_seed-10_sample-4_model.cif,0.941326074259788,0.2943243681180445
mk01,mk01_seed-7_sample-3_model.cif,0.9354471675996602,0.10187700892850539
mk10,mk10_seed-1_sample-4_model.cif,0.9363053161109118,0.15130042696765567
mk14,mk14_seed-6_sample-1_model.cif,0.9156195951498497,0.4820564335260213
mmp13,mmp13_seed-10_sample-1_model.cif,0.9450639473404685,0.14408391835047824
mp2k1,X,X,X
nos1,nos1_seed-2_sample-1_model.cif,0.7973109743932993,1.4760705463515444
nram,nram_seed-9_sample-0_model.cif,0.9573799834115428,0.2798887525878222
pa2ga,pa2ga_seed-7_sample-2_model.cif,0.8624424134916827,0.31198849247602356
parp1,parp1_seed-6_sample-1_model.cif,0.9644197108617285,0.2944808168206222
pde5a,pde5a_seed-2_sample-4_model.cif,0.8732842143049016,0.7892302728065619
pgh1,pgh1_seed-3_sample-0_model.cif,0.972558916187362,2.4174569317634376
pgh2,pgh2_seed-2_sample-1_model.cif,0.9754886245106635,0.21336967957859038
plk1,X,X,X
pnph,pnph_seed-7_sample-3_model.cif,0.9388643737463501,0.8119832472510351
ppara,ppara_seed-4_sample-0_model.cif,0.961662364570677,0.3158333498671081
ppard,ppard_seed-5_sample-4_model.cif,0.9882421943903397,0.5613896950941214
pparg,pparg_seed-10_sample-4_model.cif,0.9536589413638056,0.2562037215044671
prgr,prgr_seed-5_sample-1_model.cif,0.9042437265063304,0.2688699008092358
ptn1,ptn1_seed-4_sample-4_model.cif,0.946979976768048,0.1340985856489939
pur2,pur2_seed-3_sample-0_model.cif,0.9555439481993356,0.6106798320706299
pygm,pygm_seed-9_sample-1_model.cif,0.70244955800855,0.699050129483794
pyrd,pyrd_seed-1_sample-3_model.cif,0.9296358357854225,0.1289606731118668
reni,reni_seed-3_sample-1_model.cif,0.9941989274559881,0.813463950229065
rock1,X,X,X
rxra,X,X,X
sahh,sahh_seed-9_sample-2_model.cif,0.9805011483607333,0.2249139064287053
src,src_seed-4_sample-4_model.cif,0.9460255325939565,0.4049160295031397
tgfr1,tgfr1_seed-2_sample-0_model.cif,0.947046595296183,0.10578449188216003
thb,thb_seed-1_sample-4_model.cif,0.9589269321763713,0.40356680514944365
thrb,thrb_seed-1_sample-3_model.cif,0.8891549171079575,0.17542057973804487
try1,try1_seed-3_sample-3_model.cif,0.9665813139098152,0.3710409120673811
tryb1,tryb1_seed-9_sample-2_model.cif,0.8123970811755145,0.35381372259462096
tysy,tysy_seed-8_sample-2_model.cif,0.8933374514236825,0.8431608931823913
urok,urok_seed-6_sample-4_model.cif,0.928457623514077,0.7690036232555914
vgfr2,vgfr2_seed-6_sample-3_model.cif,0.9477683284281706,0.1920715210623567
wee1,wee1_seed-8_sample-0_model.cif,0.9468355118908204,0.2837903602491813
xiap,xiap_seed-5_sample-2_model.cif,0.8915204039994662,0.5828903341383197
